,sky,has,stg
opt,162409.0,167470.0,188965.0
de,107224.0,141786.0,162540.0
rnd,116529.0,148734.0,172707.0
nn,90150.0,149873.0,167581.0
dac,122351.0,148712.0,168731.0
bo,150399.0,145576.0,173108.0
ex,132773.0,156872.0,177827.0
hi,119692.0,156872.0,171561.0
n-de,0.3397902825582326,0.1533647817519556,0.13984071124282274
n-rnd,0.28249665966787557,0.11187675404550068,0.08603709681687084
n-nn,0.44491992438842676,0.10507553591688064,0.11316381340459873
n-dac,0.2466488926106312,0.112008120857467,0.1070780303230757
n-bo,0.07394910380582356,0.13073386278139368,0.08391501071627021
n-ex,0.18247757205573584,0.06328297605541292,0.05894213214087265
n-hi,0.2630211379911212,0.06328297605541292,0.09210171195724076
