,stg,sky
opt,66504951.0,66504951.0
de,20075702.0,20075702.0
rnd,52374731.0,52374731.0
nn,52216613.0,56856127.0
dac,50479197.0,42436949.0
bo,57250505.0,52715703.0
ex,64840402.0,56558111.0
hi,51878614.0,47377720.0
n-de,0.6981322187576682,0.6981322187576682
n-rnd,0.2124686927443943,0.2124686927443943
n-nn,0.214846230019777,0.1450842960548907
n-dac,0.24097084140397307,0.36189789839857184
n-bo,0.13915424131355272,0.20734167596033565
n-ex,0.02502894859662403,0.14956540604022098
n-hi,0.21992854336513984,0.28760612123449275
