,has,stg
opt,420021917.0,420021917.0
de,289347774.0,289347774.0
rnd,343552063.0,343552063.0
nn,385751727.0,351161743.0
dac,386405144.0,376122951.0
bo,395086525.0,395086525.0
ex,355848363.0,416000634.0
hi,403630616.0,382072602.0
n-de,0.31111267700823336,0.31111267700823336
n-rnd,0.1820615803722452,0.1820615803722452
n-nn,0.08159143276325745,0.163944240081167
n-dac,0.08003575918158576,0.10451589363133162
n-bo,0.0593668829905369,0.0593668829905369
n-ex,0.1527862032971008,0.009573983730948973
n-hi,0.03902487069502138,0.09035079709899996
